2092,Abrams,Kansas
2138,Alkali Mesa,Utah
2214,Ash Valley,California
2215,Bodie Hills,California
2067,Bosque Seco,Puerto Rico
2177,Broad Acres,Alabama
2216,Buckhorn,Nevada
1232,Canyon Lake,Alaska
2094,Centralia Lake,Kansas
2213,Checkers Creek,Alaska
2124,Cinnamon Bay,Virgin Islands
2195,CMRB LTAR-MO,Missouri
2189,Cochora Ranch,California
2197,CPER,Colorado
2107,Crossroads,New Mexico
2190,Death Valley Jct,California
2174,Dee River Ranch,Alabama
2187,Deep Springs,California
2183,Desert Center,California
2191,Doe Ridge,California
2192,Eagle Lake,California
2220,Elsberry PMC,Missouri
2126,Ephraim,Utah
2185,Essex,California
2184,Ford Dry Lake,California
2122,Fortuna,Puerto Rico
2218,French Gulch,California
2143,Hayford Peak,Nevada
2127,Holden,Utah
2210,Hozatka Lake,Alaska
2211,Innoko Camp,Alaska
2173,Isbell Farms,Alabama
2148,Jordan Valley Cwma,Idaho
2208,Kanaryagak Camp,Alaska
2212,Kanuti Lake,Alaska
2201,Knox City,Texas
2147,Ku-Nesa,Kansas
2106,Lehman,Texas
2105,Levelland,Texas
2169,Los Lunas PMC,New Mexico
1233,Lower Mulchatna,Alaska
2217,Monocline Ridge,California
2062,Moose Inc,Alaska
2178,Morris Farms,Alabama
2178,Morris Farms,Alabama
2039,N Piedmont Arec,Virginia
2209,Naknek River,Alaska
2081,Nenana,Alaska
674,Orchard Range Site,Idaho
2037,Pee Dee,South Carolina
2093,Phillipsburg,Kansas
2104,Reese Center,Texas
2089,Reynolds Homestead,Virginia
2199,Riesel,Texas
2182,River Road Farms,Alabama
2200,San Angelo,Texas
2063,Schor Garden,Alaska
2176,Selma,Alabama
2186,Shadow Mtns,California
2088,Shenandoah,Virginia
2203,Stephenville,Texas
2219,Stubblefield,California
2179,Sudduth Farms,Alabama
808,Table Mountain,Montana
2040,Tidewater Arec,Virginia
2085,Uapb-Earle,Arkansas
2221,Unalakleet,Alaska
2204,Uvalde,Texas
2202,Vernon,Texas
1234,Weary Lake,Alaska
2175,Wedowee,Alabama
2205,Weslaco,Texas
2108,Willow Wells,New Mexico
2038,Youmans Farm,South Carolina
